case,species,step,omega_ci_t,anisotropy_global,parallel_over_perpendicular_global,anisotropy_median,anisotropy_p25,anisotropy_p75,beta_parallel_global,beta_parallel_median,beta_parallel_p25,beta_parallel_p75,marginal_threshold,instability_drive,valid_cells
Mirror Moderate Bi-Kappa 3,ion,20000,2.638888888888889,2.0034263134002686,0.4991448865931951,2.0060715675354004,1.930521011352539,2.0836830139160156,4.957766056060791,4.93798303604126,4.747414588928223,5.143627166748047,1.2017037489652251,0.8017225644350434,331776
Mirror Moderate Bi-Kappa 3,ion,20500,2.704861111111111,2.0035312175750732,0.49911875154624563,2.0062217712402344,1.930891513824463,2.083684206008911,4.956944465637207,4.936732292175293,4.7459917068481445,5.143672466278076,1.201737180420772,0.8017940371543013,331776
Mirror Moderate Bi-Kappa 3,ion,21000,2.7708333333333335,2.003669023513794,0.49908442375693374,2.006523609161377,1.9307841062545776,2.08400297164917,4.956052780151367,4.935873985290527,4.745151042938232,5.142504692077637,1.2017734766677481,0.8018955468460458,331776
Mirror Moderate Bi-Kappa 3,ion,21500,2.836805555555556,2.0037708282470703,0.49905906698662517,2.006305694580078,1.9309240579605103,2.0839853286743164,4.955231189727783,4.9351043701171875,4.744463920593262,5.142686367034912,1.2018069312432897,0.8019638970037806,331776
Mirror Moderate Bi-Kappa 3,ion,22000,2.9027777777777777,2.0038671493530273,0.499035078409695,2.0067763328552246,1.9310168027877808,2.0841424465179443,4.954426288604736,4.934753894805908,4.743342399597168,5.14241886138916,1.2018397170021515,0.8020274323508758,331776
Mirror Moderate Bi-Kappa 3,ion,22500,2.96875,2.0039916038513184,0.4990040866828865,2.0064806938171387,1.9313102960586548,2.084279775619507,4.953546047210693,4.934930801391602,4.743093490600586,5.139511585235596,1.2018755837675301,0.8021160200837882,331776
Mirror Moderate Bi-Kappa 3,ion,23000,3.0347222222222223,2.0040879249572754,0.4989801033910819,2.0069968700408936,1.9315012693405151,2.0844838619232178,4.952759742736816,4.932982444763184,4.741774082183838,5.140784740447998,1.201907633711991,0.8021802912452844,331776
Mirror Moderate Bi-Kappa 3,ion,23500,3.1006944444444446,2.0041937828063965,0.4989537481748586,2.0069642066955566,1.9316707849502563,2.0842275619506836,4.95192813873291,4.9318952560424805,4.740256309509277,5.139059543609619,1.2019415411500454,0.8022522416563511,331776
Mirror Moderate Bi-Kappa 3,ion,24000,3.166666666666667,2.0042903423309326,0.49892971037171613,2.0073370933532715,1.9315319061279297,2.084751605987549,4.9511260986328125,4.931002616882324,4.739658832550049,5.138250350952148,1.201974253953285,0.8023160883776477,331776
Mirror Moderate Bi-Kappa 3,ion,24500,3.232638888888889,2.0043859481811523,0.49890591226077685,2.0070433616638184,1.931946039199829,2.084235191345215,4.950320243835449,4.930694580078125,4.739174842834473,5.138132095336914,1.2020071330224107,0.8023788151587417,331776
Mirror Moderate Bi-Kappa 3,ion,25000,3.298611111111111,2.0045111179351807,0.4988747585646151,2.0074331760406494,1.9318279027938843,2.0843842029571533,4.949462413787842,4.92974853515625,4.738643646240234,5.136521339416504,1.2020421444588154,0.8024689734763653,331776
Mirror Moderate Bi-Kappa 3,ion,25500,3.364583333333334,2.004622220993042,0.4988471092097462,2.007479667663574,1.9318574666976929,2.084684133529663,4.948622703552246,4.9285993576049805,4.737397193908691,5.135265827178955,1.2020764281104266,0.8025457928826154,331776
Mirror Moderate Bi-Kappa 3,ion,26000,3.430555555555556,2.0047037601470947,0.4988268191439044,2.0078248977661133,1.9319261312484741,2.0848147869110107,4.947850227355957,4.927886009216309,4.736687183380127,5.135285377502441,1.202107977010125,0.8025957831369697,331776
Mirror Moderate Bi-Kappa 3,ion,26500,3.4965277777777777,2.0048232078552246,0.4987970989570735,2.007493257522583,1.932145595550537,2.084817409515381,4.946993350982666,4.9279327392578125,4.737663269042969,5.134677886962891,1.2021429844455644,0.8026802234096602,331776
Mirror Moderate Bi-Kappa 3,ion,27000,3.5625,2.004929780960083,0.498770585132981,2.0078377723693848,1.9321119785308838,2.085038185119629,4.946195125579834,4.925680160522461,4.734123706817627,5.133597373962402,1.2021756066250564,0.8027541743350266,331776
Mirror Moderate Bi-Kappa 3,ion,27500,3.628472222222222,2.0050289630889893,0.4987459126073567,2.0079517364501953,1.932167410850525,2.085280418395996,4.945387363433838,4.925775527954102,4.73399543762207,5.133274078369141,1.202208629276241,0.8028203338127482,331776
Mirror Moderate Bi-Kappa 3,ion,28000,3.6944444444444446,2.0051472187042236,0.49871649855526573,2.00793194770813,1.9323440790176392,2.0855789184570312,4.944543838500977,4.9251275062561035,4.73423957824707,5.131194591522217,1.2022431254858015,0.8029040932184222,331776
Mirror Moderate Bi-Kappa 3,ion,28500,3.7604166666666665,2.0052454471588135,0.49869206855294307,2.0081706047058105,1.932235836982727,2.0855917930603027,4.943727493286133,4.923733711242676,4.733112335205078,5.131533145904541,1.2022765213814997,0.8029689257773138,331776
Mirror Moderate Bi-Kappa 3,ion,29000,3.8263888888888893,2.0053648948669434,0.4986623644203916,2.0083634853363037,1.9327600002288818,2.0856642723083496,4.94288969039917,4.9228515625,4.732420921325684,5.1303019523620605,1.202310806559643,0.8030540883073003,331776
Mirror Moderate Bi-Kappa 3,ion,29500,3.892361111111111,2.005443811416626,0.4986427414755688,2.008141040802002,1.9328346252441406,2.085548162460327,4.9421210289001465,4.922297477722168,4.731174945831299,5.129079818725586,1.2023422725085604,0.8031015389080656,331776
Mirror Moderate Bi-Kappa 3,ion,30000,3.958333333333334,2.0055408477783203,0.49861861507721017,2.0080199241638184,1.932895302772522,2.0857439041137695,4.941325664520264,4.922263145446777,4.730705738067627,5.128640651702881,1.2023748418729423,0.803166005905378,331776
Mirror Moderate Bi-Kappa 3,ion,30500,4.024305555555555,2.005659818649292,0.49858903823154227,2.008455753326416,1.932785153388977,2.085998058319092,4.940501689910889,4.920550346374512,4.7302470207214355,5.127256393432617,1.2024085938563938,0.8032512247928982,331776
Mirror Moderate Bi-Kappa 3,ion,31000,4.090277777777778,2.0057482719421387,0.49856705050615036,2.0085854530334473,1.9328179359436035,2.0859076976776123,4.939708232879639,4.9199018478393555,4.728778839111328,5.126863479614258,1.2024411064086356,0.8033071655335031,331776
Mirror Moderate Bi-Kappa 3,ion,31500,4.15625,2.0058541297912598,0.4985407389041124,2.008312225341797,1.9329601526260376,2.0862057209014893,4.938894748687744,4.9198760986328125,4.727959156036377,5.1267595291137695,1.2024744504356362,0.8033796793556236,331776
Mirror Moderate Bi-Kappa 3,ion,32000,4.222222222222222,2.005943536758423,0.49851851843047695,2.0086612701416016,1.9333877563476562,2.0860395431518555,4.93812370300293,4.918667793273926,4.726714134216309,5.1247878074646,1.2025060650853863,0.8034374716730366,331776
Mirror Moderate Bi-Kappa 3,ion,32500,4.288194444444445,2.006044864654541,0.498493337621444,2.008694887161255,1.9332854747772217,2.086449384689331,4.937314033508301,4.917758941650391,4.726673603057861,5.125067710876465,1.202539274029007,0.803505590625534,331776
