step,omega_ci_t,delta_B_rms,delta_B_rms_over_B0,delta_B_parallel_rms,delta_B_parallel_rms_over_B0,delta_B_perp_rms,delta_B_perp_rms_over_B0,B_min,mirror_depth,mirror_area_fraction,magnetic_energy_fluct
29000,3.8263888888888893,0.0008613678143528521,0.01076709767941065,0.0008610983178704761,0.01076372897338095,0.0017898081575527037,0.022372601969408795,0.07620260566276149,0.047467429215481416,0.1535101996527778,3.709772558015047e-07
29500,3.892361111111111,0.0008627569846011081,0.010784462307513851,0.0008624140651472278,0.010780175814340348,0.0017925477059506146,0.02240684632438268,0.07631098506249039,0.046112686718870144,0.15346498842592593,3.721748072389984e-07
30000,3.958333333333334,0.0008643127950295752,0.010803909937869689,0.0008639777621910148,0.010799722027387684,0.0017940517800399342,0.022425647250499177,0.07608482008996392,0.04893974887545094,0.15269941165123457,3.735183038259182e-07
30500,4.024305555555555,0.0008666270894800938,0.010832838618501173,0.0008663120692608092,0.010828900865760114,0.0017929098978453082,0.02241137372306635,0.07640395316172525,0.044950585478434335,0.1531032986111111,3.7552125611036926e-07
31000,4.090277777777778,0.0008691560912949179,0.010864451141186473,0.0008688210262818566,0.010860262828523207,0.001795656191900448,0.0224457023987556,0.07609971531567071,0.048753558554116116,0.1533745659722222,3.777161555175298e-07
31500,4.15625,0.0008728831818741701,0.010911039773427125,0.0008725663750583523,0.010907079688229404,0.0017993233316918797,0.022491541646148496,0.07584678905161359,0.05191513685483018,0.15370310088734568,3.8096252459938777e-07
32000,4.222222222222222,0.0008720423459138989,0.010900529323923736,0.0008717359331304689,0.010896699164130861,0.0017989418040276104,0.02248677255034513,0.0762486578087576,0.046891777390529965,0.15327510127314814,3.8022892653350813e-07
32500,4.288194444444445,0.0008762934024214423,0.010953667530268028,0.0008759474805694428,0.010949343507118035,0.001803219486199641,0.022540243577495515,0.07621227011285975,0.04734662358925312,0.1529736930941358,3.8394506356367393e-07
33000,4.354166666666667,0.0008756620739563185,0.010945775924453982,0.0008753747439195504,0.010942184298994378,0.0018028362984924065,0.02253545373115508,0.07617524406132288,0.047809449233463974,0.1530098620756173,3.8339203388274053e-07
33500,4.420138888888889,0.0008779980848836287,0.010974976061045359,0.0008777163475815345,0.01097145434476918,0.0018056538735854424,0.02257067341981803,0.07585560312820484,0.05180496089743947,0.1528832706404321,3.854403185296599e-07
34000,4.486111111111112,0.000878314980863651,0.010978937260795636,0.0008779674601969586,0.010974593252461981,0.0018057905899282057,0.02257238237410257,0.07615827024409916,0.048021621948760584,0.15376036844135801,3.857186028047578e-07
34500,4.552083333333334,0.0008818999758517144,0.01102374969814643,0.0008816462691693151,0.011020578364616439,0.0018109429413894534,0.022636786767368168,0.07578661796819781,0.05266727539752736,0.1528862847222222,3.888737837036273e-07
35000,4.618055555555555,0.0008819624312233318,0.011024530390291647,0.0008816489993701605,0.011020612492127005,0.001809796420545991,0.022622455256824887,0.07615365343781821,0.048079332027272326,0.1533474392361111,3.889288650446851e-07
35500,4.684027777777778,0.0008835357008694181,0.011044196260867726,0.0008832318949012959,0.011040398686266198,0.0018144843654918984,0.022681054568648728,0.0759031247773067,0.05121094028366635,0.1534891010802469,3.9031766735540695e-07
36000,4.75,0.0008871991952163092,0.011089989940203866,0.0008868404713310783,0.011085505891638479,0.0018143008779069971,0.022678760973837465,0.07557121097026763,0.05535986287165462,0.15388695987654322,3.935612059962334e-07
36500,4.815972222222222,0.0008899598105482296,0.01112449763185287,0.0008897075845346089,0.011121344806682611,0.0018129865287740189,0.022662331609675235,0.07519445459146824,0.06006931760664702,0.15291341145833334,3.960142321955204e-07
37000,4.881944444444445,0.0008887230027146203,0.011109037533932754,0.0008884342628558207,0.011105428285697758,0.0018178200847074855,0.02272275105884357,0.0759250679361029,0.05093665079871379,0.15288929880401234,3.9491428777704555e-07
37500,4.947916666666667,0.0008904523335990723,0.011130654169988404,0.0008901654241293269,0.011127067801616587,0.0018186494709675678,0.022733118387094596,0.07599727480244463,0.05003406496944218,0.15345594618055555,3.964526792060168e-07
38000,5.013888888888889,0.0008929851794375753,0.01116231474296969,0.0008926529133892881,0.011158161417366102,0.0018216678385316355,0.022770847981645442,0.07590198345515195,0.05122520681060061,0.15336853780864199,3.987112653475792e-07
38500,5.079861111111112,0.0008961185977428516,0.011201482471785646,0.0008957626678743971,0.011197033348429964,0.001823115381483272,0.0227889422685409,0.07630714319038351,0.04616071012020617,0.15335346739969136,4.0151427061030733e-07
39000,5.145833333333334,0.0008959205996096405,0.011199007495120506,0.0008956062429206385,0.011195078036507981,0.0018232817586884545,0.02279102198360568,0.07580339942967909,0.05245750712901143,0.1531153549382716,4.0133686040244887e-07
39500,5.211805555555555,0.0008970374444106775,0.011212968055133467,0.0008968171857593432,0.01121021482199179,0.0018224587078920899,0.022780733848651123,0.07608236212882653,0.04897047338966831,0.1524974681712963,4.0233808833741964e-07
40000,5.277777777777778,0.0009007977455891016,0.01125997181986377,0.0009004591832264696,0.011255739790330871,0.0018269597308399532,0.022836996635499415,0.07596176495088791,0.05047793811390111,0.15220510223765432,4.0571828922920394e-07
40500,5.34375,0.0009011664443342586,0.011264580554178233,0.000900859131473846,0.011260739143423074,0.0018289722801404782,0.022862153501755977,0.07584010566092209,0.0519986792384739,0.15362172067901234,4.0605048019702527e-07
41000,5.409722222222222,0.0009028416801094408,0.01128552100136801,0.00090256493494805,0.011282061686850624,0.0018263549126121162,0.022829436407651452,0.07599711395298624,0.05003607558767209,0.1534107349537037,4.075615496714189e-07
41500,5.475694444444445,0.0009066090249864821,0.011332612812331026,0.0009062887503921123,0.011328609379901404,0.0018329925267258807,0.022912406584073508,0.07587232314733147,0.05159596065835659,0.1538206500771605,4.109699620934699e-07
42000,5.541666666666667,0.0009076749505212607,0.011345936881515759,0.0009073894004211344,0.01134236750526418,0.0018366343604991624,0.022957929506239528,0.07594407850659152,0.050699018667606066,0.15258487654320987,4.119369079018865e-07
42500,5.607638888888889,0.0009062370298719176,0.01132796287339897,0.0009059080866120739,0.011323851082650924,0.0018338654354633692,0.022923317943292113,0.07554314189619785,0.055710726297526936,0.1529224537037037,4.1063277715553746e-07
43000,5.673611111111112,0.0009082535063654037,0.011353168829567547,0.0009079329756203349,0.011349162195254186,0.0018370453773054614,0.02296306721631827,0.0754672602996611,0.05665924625423635,0.15303096064814814,4.1246221591252523e-07
43500,5.739583333333334,0.0009108863054015972,0.011386078817519964,0.00091057548521675,0.011382193565209375,0.001838313085646478,0.022978913570580975,0.07610909872705458,0.04863626591181769,0.15295259452160495,4.1485693068408586e-07
44000,5.805555555555555,0.0009140431707902227,0.011425539634877784,0.0009137278426165768,0.01142159803270721,0.001835787970419338,0.022947349630241722,0.07592651549623101,0.05091855629711228,0.1533866222993827,4.177374590341221e-07
44500,5.871527777777778,0.0009143965397144983,0.011429956746431229,0.0009140702977286086,0.011425878721607607,0.001838161246669926,0.022977015583374075,0.07524318203412413,0.05946022457344846,0.15344388985339505,4.18060515920924e-07
45000,5.9375,0.0009169414499705872,0.01146176812463234,0.0009166700761247146,0.011458375951558932,0.0018445222091596888,0.02305652761449611,0.07607561337685309,0.04905483278933642,0.15355842496141975,4.2039081133708137e-07
45500,6.003472222222222,0.0009170267018833064,0.01146283377354133,0.000916725211210576,0.0114590651401322,0.0018430867571584625,0.02303858446448078,0.07618796301290154,0.047650462338730826,0.15263611593364199,4.204689859834873e-07
46000,6.069444444444445,0.0009192639387957088,0.01149079923494636,0.0009189769427323819,0.011487211784154773,0.0018439499915815756,0.023049374894769693,0.07557814666367284,0.05527316670408955,0.15316960841049382,4.2252309458510034e-07
46500,6.135416666666667,0.0009218999051070416,0.01152374881383802,0.0009216155509022277,0.011520194386277846,0.0018430277590809046,0.023037846988511308,0.07584217729742938,0.05197278378213277,0.15336853780864199,4.249497175181862e-07
47000,6.201388888888889,0.0009228621085834266,0.011535776357292834,0.0009225442404242532,0.011531803005303164,0.0018495700590766577,0.02311962573845822,0.07613142507371261,0.04835718657859245,0.1530128761574074,4.258372357295242e-07
47500,6.267361111111112,0.0009235661588409717,0.011544576985512147,0.000923248116006309,0.011540601450078862,0.001850552310789071,0.023131903884863386,0.07581016365639062,0.052372954295117236,0.15319372106481483,4.2648722487813355e-07
48000,6.333333333333334,0.0009261864862351191,0.011577331077938988,0.0009258308570696893,0.011572885713371115,0.0018498967465276266,0.02312370933159533,0.07531729016902543,0.05853387288718215,0.15342580536265432,4.2891070364227825e-07
48500,6.399305555555555,0.0009287201568330469,0.011609001960413087,0.0009284717056087399,0.011605896320109249,0.001850613887177192,0.0231326735897149,0.0749568607892863,0.06303924013392126,0.15349512924382716,4.3126056485399963e-07
49000,6.465277777777778,0.0009289277979221202,0.011611597474026502,0.0009286821419255248,0.01160852677406906,0.0018547326643045762,0.0231841583038072,0.07597265690084057,0.05034178873949291,0.1535765094521605,4.3145342687621964e-07
49500,6.53125,0.0009287511544378062,0.011609389430472577,0.0009284581834485664,0.01160572729310708,0.0018529139149664102,0.023161423937080126,0.07555124948543217,0.055609381432097926,0.15258186246141975,4.312893534347789e-07
50000,6.597222222222222,0.0009275848520317996,0.011594810650397495,0.0009272029745519528,0.01159003718189941,0.0018552925356309074,0.023191156695386343,0.07595120084149856,0.05060998948126805,0.15323290412808643,4.302068288594277e-07
50500,6.663194444444444,0.0009293222906372627,0.011616528632965783,0.0009290185405839268,0.011612731757299084,0.0018591833264024267,0.023239791580030332,0.07583337947370522,0.052082756578684775,0.15263008777006173,4.318199599376445e-07
51000,6.729166666666668,0.0009298457873613424,0.01162307234201678,0.0009295762694520862,0.011619703368151078,0.0018588112744308601,0.023235140930385752,0.07557555211232546,0.05530559859593176,0.15296465084876543,4.3230659413681733e-07
51500,6.795138888888889,0.0009329494022368681,0.011661867527960851,0.0009326330556092301,0.011657913195115376,0.0018641189658580406,0.023301487073225508,0.07561806226705323,0.054774221661834654,0.1532690731095679,4.351972935670648e-07
52000,6.861111111111112,0.0009330186936148242,0.011662733670185303,0.0009327045991479528,0.01165880748934941,0.0018659226670726045,0.023324033338407556,0.07573546744712195,0.05330665691097558,0.15318467881944445,4.352619413173566e-07
52500,6.927083333333333,0.0009378484853091188,0.011723106066363984,0.0009375252600972663,0.01171906575121583,0.0018697087046500949,0.023371358808126186,0.07592483161035446,0.050939604870569255,0.15294053819444445,4.397798906983042e-07
53000,6.993055555555555,0.0009370634359449814,0.011713292949312268,0.0009367570201309183,0.011709462751636479,0.0018681492488064402,0.023351865610080503,0.0758027418951701,0.05246572631037383,0.15360665027006173,4.3904394149250714e-07
53500,7.059027777777779,0.0009374824263986946,0.011718530329983682,0.0009371606763990578,0.011714508454988223,0.0018714292431534043,0.023392865539417555,0.07578611316981342,0.052673585377332355,0.15291943962191357,4.3943664990319186e-07
54000,7.125,0.0009396315375009176,0.01174539421876147,0.0009393546314809812,0.011741932893512264,0.001872057194514789,0.023400714931434863,0.07603425769926775,0.049571778759153196,0.1532298900462963,4.4145371313316914e-07
54500,7.190972222222222,0.000944297362792425,0.011803717034905311,0.0009439665470623791,0.011799581838279739,0.001874768005819095,0.023434600072738686,0.07569137831655587,0.05385777104305167,0.1530249324845679,4.4584875468836437e-07
55000,7.256944444444444,0.0009431379921149502,0.011789224901436877,0.0009427910600207294,0.011784888250259118,0.0018742303823118358,0.02342787977889795,0.07551374958477368,0.056078130190329034,0.15256980613425927,4.447546360853099e-07
55500,7.322916666666668,0.0009471255883238478,0.011839069854048097,0.0009468485238008894,0.011835606547511117,0.0018729350289767846,0.023411687862209807,0.07575983137609198,0.053002107798850284,0.15269639756944445,4.4852344002889746e-07
56000,7.388888888888889,0.0009455353516715032,0.01181919189589379,0.000945228060087842,0.011815350751098025,0.0018752897848853837,0.023441122311067295,0.0750076075897774,0.06240490512778252,0.15321481963734568,4.4701855063027655e-07
56500,7.454861111111112,0.000947311371884703,0.011841392148558788,0.0009470210247574934,0.011837762809468667,0.0018800738516090163,0.023500923145112703,0.0756660309777571,0.054174612778036146,0.15277476369598766,4.4869941765103904e-07
57000,7.520833333333333,0.0009510166406173513,0.011887708007716892,0.0009506687757880242,0.011883359697350302,0.0018829487530631736,0.02353685941328967,0.07558632309991883,0.055170961251014616,0.15301890432098766,4.522163253655562e-07
57500,7.586805555555555,0.0009522079157736962,0.011902598947171203,0.0009518925789059253,0.011898657236324066,0.0018845129142937985,0.023556411428672482,0.07570476589734032,0.05369042628324605,0.15340772087191357,4.5334995743104323e-07
58000,7.652777777777779,0.0009522707494357745,0.011903384367947181,0.0009520207826904319,0.011900259783630398,0.00188286739145178,0.02353584239314725,0.07559299077724031,0.05508761528449613,0.15283805941358025,4.5340979011548576e-07
58500,7.71875,0.000953935412816752,0.0119241926602094,0.0009535706589938859,0.011919633237423573,0.0018856058624651603,0.023570073280814504,0.07568214898190564,0.05397313772617951,0.15299177758487653,4.549963859129335e-07
59000,7.784722222222222,0.0009557444903201649,0.011946806129002062,0.0009554101171626171,0.011942626464532714,0.0018864091453321436,0.023580114316651794,0.0757105051727774,0.05361868534028247,0.15268132716049382,4.567237653886759e-07
59500,7.850694444444444,0.0009574610623081058,0.011968263278851322,0.0009572231026502821,0.011965288783128527,0.0018860068440431242,0.02357508555053905,0.07545718093732415,0.05678523828344817,0.15305205922067902,4.583658429180832e-07
60000,7.916666666666668,0.0009581076204265369,0.011976345255331712,0.0009578351081913662,0.011972938852392078,0.001890395533873505,0.023629944173418814,0.07503811718695964,0.06202353516300452,0.1530098620756173,4.589851061597005e-07
60500,7.982638888888889,0.0009592311450850565,0.011990389313563207,0.0009588680066057935,0.011985850082572419,0.0018880667159055552,0.023600833948819438,0.0758417734465474,0.051977831918157524,0.15346800250771606,4.6006219485059437e-07
61000,8.04861111111111,0.0009635213014219387,0.012044016267774233,0.0009632207659070091,0.012040259573837614,0.001894976984738456,0.0236872123092307,0.0754677284836253,0.05665339395468372,0.15361267843364199,4.6418664914691326e-07
61500,8.114583333333334,0.0009613621510075548,0.012017026887594434,0.0009610887312982688,0.01201360914122836,0.0018926844655116582,0.023658555818895727,0.07511788919505874,0.06102638506176572,0.1534981433256173,4.621085926949363e-07
62000,8.180555555555555,0.00096252389162794,0.01203154864534925,0.0009622638434409569,0.012028298043011962,0.0018919050503199448,0.02364881312899931,0.07580942711764836,0.052382161029395524,0.15288025655864199,4.6322612097729715e-07
62500,8.246527777777779,0.0009651774146428655,0.012064717683035818,0.000964859115236256,0.0120607389404532,0.0018952747517575422,0.023690934396969277,0.07546712523481872,0.05666093456476606,0.15307918595679013,4.6578372086834295e-07
